演算チャンネル,(1)CA-CH01:Channel01
窓関数,長方形
演算点数,100000
演算モード,リニアスペクトル
微積分設定,微積分しない
演算範囲,最新データ
オーバーオール(dBrms),10.2816
,0dB=1m/s^2
周波数(Hz),データ(dB)
0,-48.487
0.1,-34.7515
0.2,-30.6706
0.3,-27.2103
0.4,-24.195
0.5,-21.3703
0.6,-18.6242
0.7,-15.6048
0.8,-11.5553
0.9,-5.52671
1,12.9896
1.1,-2.16331
1.2,-8.54351
1.3,-11.9997
1.4,-14.2838
1.5,-15.9791
1.6,-17.4355
1.7,-18.6131
1.8,-19.6178
1.9,-20.5051
2,-21.2778
2.1,-21.9754
2.2,-22.6145
2.3,-23.1947
2.4,-23.7263
2.5,-24.2447
2.6,-24.7007
2.7,-25.1401
2.8,-25.5602
2.9,-25.9413
3,-26.319
3.1,-26.6556
3.2,-27.0483
3.3,-27.3301
3.4,-27.6526
3.5,-27.9587
3.6,-28.2396
3.7,-28.5137
3.8,-28.7683
3.9,-29.0631
4,-29.2948
4.1,-29.5486
4.2,-29.7273
4.3,-29.993
4.4,-30.2667
4.5,-30.4355
4.6,-30.6259
4.7,-30.8142
4.8,-31.0509
4.9,-31.2084
5,-31.4655
5.1,-31.5497
5.2,-31.6759
5.3,-31.8727
5.4,-32.1233
5.5,-32.2983
5.6,-32.5513
5.7,-32.6292
5.8,-32.745
5.9,-33.0029
6,-33.0799
6.1,-33.3262
6.2,-33.3992
6.3,-33.5784
6.4,-33.7379
6.5,-33.8519
6.6,-34.0216
6.7,-34.109
6.8,-34.1983
6.9,-34.4245
7,-34.5322
7.1,-34.6021
7.2,-34.7504
7.3,-34.7993
7.4,-35.0154
7.5,-35.122
7.6,-35.2811
7.7,-35.3341
7.8,-35.4386
7.9,-35.5336
8,-35.7106
8.1,-35.7992
8.2,-36.031
8.3,-36.0774
8.4,-36.062
8.5,-36.251
8.6,-36.3376
8.7,-36.4058
8.8,-36.4318
8.9,-36.6483
9,-36.7043
