演算チャンネル,(1)CA-CH01:Channel01
窓関数,長方形
演算点数,100000
演算モード,リニアスペクトル
微積分設定,微積分しない
演算範囲,最新データ
オーバーオール(dBrms),16.869
,0dB=1m/s^2
周波数(Hz),データ(dB)
0,-48.4916
0.1,-58.2997
0.2,-56.8373
0.3,-59.0706
0.4,-58.8933
0.5,-56.8327
0.6,-58.2485
0.7,-57.832
0.8,-57.9475
0.9,-58.3849
1,-57.5608
1.1,-57.3666
1.2,-58.315
1.3,-57.7408
1.4,-57.6414
1.5,-58.0712
1.6,-57.9806
1.7,-57.8333
1.8,-58.1702
1.9,-57.7952
2,-58.2185
2.1,-58.0132
2.2,-57.6155
2.3,-58.0732
2.4,-58.0276
2.5,-57.7265
2.6,-57.7903
2.7,-57.9662
2.8,-58.3043
2.9,-58.2517
3,-57.9015
3.1,-57.8456
3.2,-57.9127
3.3,-58.0475
3.4,-58.3862
3.5,-57.7863
3.6,-57.7968
3.7,-57.8871
3.8,-57.6973
3.9,-57.8738
4,-57.9758
4.1,-58.2452
4.2,-57.8927
4.3,-58.104
4.4,-57.9282
4.5,-58.0977
4.6,-58.1757
4.7,-58.5605
4.8,-58.989
4.9,-58.387
5,-57.0912
5.1,-57.9606
5.2,-59.8452
5.3,-59.2047
5.4,-58.3045
5.5,-56.4205
5.6,-57.4505
5.7,-58.5288
5.8,-58.6359
5.9,-58.5162
6,-58.4639
6.1,-58.466
6.2,-57.668
6.3,-58.1416
6.4,-57.9332
6.5,-58.069
6.6,-58.044
6.7,-58.4434
6.8,-57.5401
6.9,-57.8036
7,-58.0906
7.1,-57.8786
7.2,-59.228
7.3,-58.3423
7.4,-57.9931
7.5,-58.6482
7.6,-58.0763
7.7,-57.7505
7.8,-57.3199
7.9,-58.3585
8,-58.1166
8.1,-58.3284
8.2,-57.965
8.3,-57.8327
8.4,-58.0062
8.5,-58.1587
8.6,-58.2841
8.7,-57.9355
8.8,-57.9313
8.9,-58.3823
9,-57.9566
