演算チャンネル,(1)CA-CH01:Channel01
窓関数,長方形
演算点数,100000
演算モード,リニアスペクトル
微積分設定,微積分しない
演算範囲,最新データ
オーバーオール(dBrms),4.0464
,0dB=1m/s^2
周波数(Hz),データ(dB)
0,-15.074
0.2,-6.89967
0.4,-20.6042
0.6,-10.3357
0.8,-11.0053
1,-13.0744
1.2,-11.9872
1.4,-16.9384
1.6,-7.75172
1.8,-21.8484
2,-11.139
2.2,-8.09579
2.4,-6.04827
2.6,-14.0229
2.8,-12.2095
3,-8.18132
3.2,-16.4576
3.4,-10.8262
3.6,-12.9786
3.8,-6.87472
4,-14.1807
4.2,-17.8711
4.4,-7.28587
4.6,-8.04749
4.8,-7.29279
5,-14.4107
5.2,-8.13213
5.4,-15.7895
5.6,-11.4446
5.8,-10.4845
6,-10.3187
6.2,-7.30342
6.4,-20.0509
6.6,-10.5207
6.8,-9.45954
7,-4.96565
7.2,-14.1859
7.4,-9.16836
7.6,-9.4636
7.8,-14.6769
8,-8.16235
8.2,-11.9518
8.4,-5.07704
8.6,-15.0214
8.8,-13.8715
9,-12.9756
9.2,-7.93538
9.4,-8.3359
9.6,-10.8719
9.8,-9.46862
