演算チャンネル,(1)CA-CH01:Channel01,
窓関数,長方形,
演算点数,100000,
演算モード,リニアスペクトル,
微積分設定,微積分しない,
演算範囲,最新データ,
オーバーオール(dBrms),5.61614,
,0dB=1m/s^2,
周波数(Hz),データ(dB),
0,-27.7257,-8.50921
0.2,-14.763,
0.4,-11.4936,
0.6,-18.5691,
0.8,-18.8331,
1,-13.5293,
1.2,-12.3452,
1.4,-13.6154,
1.6,-18.8844,
1.8,-17.6281,
2,-11.1567,
2.2,-17.0545,
2.4,-18.4716,
2.6,-13.2422,
2.8,-12.2072,
3,-19.0312,
3.2,-18.6568,
3.4,-13.2813,
3.6,-12.3319,
3.8,-13.3372,
4,-18.195,
4.2,-16.4437,
4.4,-10.9454,
4.6,-20.7653,
4.8,-14.1408,
5,-12.6029,
5.2,-13.4615,
5.4,-18.6792,
5.6,-17.7802,
5.8,-12.2626,
6,-12.1808,
6.2,-11.572,
6.4,-16.7336,
6.6,-15.0687,
6.8,-10.5139,
7,-26.3845,
7.2,-10.1411,
7.4,-13.2601,
7.6,-14.3693,
7.8,-17.5117,
8,-17.1035,
8.2,-10.9836,
8.4,-12.2853,
8.6,-9.1154,
8.8,-16.3017,
9,-14.8272,
9.2,-11.3148,
9.4,-18.2443,
9.6,-9.34088,
9.8,-10.9498,
10,-13.5338,
10.2,-18.1637,
10.4,-18.2393,
10.6,-12.8258,
10.8,-10.8256,
11,-8.50921,
11.2,-11.2796,
11.4,-10.4142,
11.6,-9.84046,
11.8,-39.0728,
12,-25.9674,
12.2,-9.54994,
12.4,-15.8972,
12.6,-18.3177,
12.8,-17.1704,
13,-11.6881,
13.2,-10.7902,
13.4,-10.1151,
13.6,-14.5303,
13.8,-14.311,
14,-13.387,
14.2,-27.0675,
14.4,-25.1309,
14.6,-11.5556,
14.8,-19.6286,
15,-20.6177,
15.2,-23.9776,
15.4,-15.2269,
15.6,-12.3999,
15.8,-11.8144,
16,-15.4533,
16.2,-16.8095,
16.4,-16.3961,
16.6,-21.3915,
16.8,-20.4295,
17,-13.3895,
17.2,-24.4847,
17.4,-21.4363,
17.6,-27.6623,
17.8,-18.4861,
18,-14.1253,
18.2,-11.8463,
18.4,-16.3037,
18.6,-18.2641,
18.8,-17.2894,
19,-17.5166,
19.2,-19.4239,
19.4,-14.9352,
19.6,-35.6952,
19.8,-21.3363,
20,-30.5442,
20.2,-19.5688,
20.4,-15.5901,
20.6,-10.8335,
20.8,-17.1299,
21,-19.092,
21.2,-17.764,
21.4,-15.1923,
21.6,-20.6646,
21.8,-16.4178,
22,-47.9785,
22.2,-22.2129,
22.4,-28.6885,
22.6,-19.7596,
22.8,-17.881,
23,-10.0688,
23.2,-18.5194,
23.4,-19.721,
23.6,-17.8768,
23.8,-13.8612,
24,-23.3567,
24.2,-17.6489,
24.4,-31.9448,
24.6,-22.5764,
24.8,-26.5001,
25,-19.7228,
25.2,-19.9561,
25.4,-9.52435,
25.6,-20.2129,
25.8,-19.6998,
26,-17.8445,
26.2,-13.4444,
26.4,-28.7944,
26.6,-19.4346,
26.8,-31.9721,
27,-24.1102,
27.2,-24.6255,
27.4,-20.0728,
27.6,-23.9132,
27.8,-9.2535,
28,-23.8146,
28.2,-19.0088,
28.4,-17.4939,
28.6,-13.4806,
28.8,-42.2024,
29,-20.1372,
29.2,-32.5622,
29.4,-26.1931,
29.6,-23.1899,
29.8,-20.1809,
30,-27.8833,
30.2,-9.03718,
30.4,-34.3746,
30.6,-18.2068,
30.8,-17.2906,
31,-13.5708,
31.2,-33.5031,
31.4,-20.4463,
31.6,-35.7042,
31.8,-28.759,
32,-22.2663,
32.2,-19.46,
32.4,-27.1623,
32.6,-8.89511,
32.8,-29.9634,
33,-17.3145,
33.2,-16.8146,
33.4,-14.0251,
33.6,-25.2358,
33.8,-20.4966,
34,-30.8042,
34.2,-32.3221,
34.4,-20.4779,
34.6,-18.1415,
34.8,-22.3757,
35,-9.3839,
35.2,-21.6036,
35.4,-16.5491,
35.6,-16.44,
35.8,-14.7207,
36,-20.6052,
36.2,-20.5982,
36.4,-26.967,
36.6,-32.7685,
36.8,-18.5909,
37,-16.6452,
37.2,-19.7219,
37.4,-10.1179,
37.6,-17.8665,
37.8,-15.8104,
38,-16.6575,
38.2,-15.7628,
38.4,-17.6823,
38.6,-21.4634,
38.8,-23.3873,
39,-32.7487,
39.2,-16.2338,
39.4,-15.0153,
39.6,-17.9995,
39.8,-11.4815,
40,-15.4442,
40.2,-14.9652,
40.4,-16.931,
40.6,-17.1783,
40.8,-15.6476,
41,-22.3055,
41.2,-21.128,
41.4,-27.888,
41.6,-14.1031,
41.8,-13.8777,
42,-17.5745,
42.2,-13.5585,
42.4,-13.6839,
42.6,-15.168,
42.8,-18.246,
43,-18.7839,
43.2,-14.6663,
43.4,-21.3836,
43.6,-20.2328,
43.8,-22.7501,
44,-12.3777,
44.2,-13.4152,
44.4,-17.3504,
44.6,-16.6094,
44.8,-12.6204,
45,-16.0308,
45.2,-19.8544,
45.4,-20.0387,
45.6,-14.4367,
45.8,-21.2951,
46,-19.8393,
46.2,-18.913,
46.4,-11.3228,
46.6,-13.8268,
46.8,-17.2849,
47,-22.4485,
47.2,-12.287,
47.4,-17.5422,
47.6,-21.6024,
47.8,-20.2817,
48,-13.8207,
48.2,-23.6901,
48.4,-18.322,
48.6,-16.5268,
48.8,-10.7259,
49,-14.7332,
49.2,-17.4336,
49.4,-32.9075,
49.6,-13.0409,
49.8,-19.2758,
