#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:27:53,366000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:27:53,366000,-0.252
2010/11/03 02:27:53,366200,-0.292
2010/11/03 02:27:53,366400,-0.098
2010/11/03 02:27:53,366600,0.198
2010/11/03 02:27:53,366800,0.092
2010/11/03 02:27:53,367000,-0.026
2010/11/03 02:27:53,367200,0.410
2010/11/03 02:27:53,367400,0.658
2010/11/03 02:27:53,367600,0.468
2010/11/03 02:27:53,367800,0.068
2010/11/03 02:27:53,368000,-0.332
2010/11/03 02:27:53,368200,-0.248
2010/11/03 02:27:53,368400,-0.236
2010/11/03 02:27:53,368600,-0.346
2010/11/03 02:27:53,368800,-0.198
2010/11/03 02:27:53,369000,-0.036
2010/11/03 02:27:53,369200,0.042
2010/11/03 02:27:53,369400,-0.048
2010/11/03 02:27:53,369600,-0.184
2010/11/03 02:27:53,369800,0.086
2010/11/03 02:27:53,370000,0.132
2010/11/03 02:27:53,370200,-0.178
2010/11/03 02:27:53,370400,-0.500
2010/11/03 02:27:53,370600,-0.646
2010/11/03 02:27:53,370800,-0.458
2010/11/03 02:27:53,371000,-0.486
2010/11/03 02:27:53,371200,-0.594
2010/11/03 02:27:53,371400,-0.202
2010/11/03 02:27:53,371600,0.102
2010/11/03 02:27:53,371800,0.056
2010/11/03 02:27:53,372000,0.120
2010/11/03 02:27:53,372200,0.294
2010/11/03 02:27:53,372400,0.268
2010/11/03 02:27:53,372600,0.310
2010/11/03 02:27:53,372800,0.244
2010/11/03 02:27:53,373000,-0.008
2010/11/03 02:27:53,373200,0.008
2010/11/03 02:27:53,373400,-0.148
2010/11/03 02:27:53,373600,-0.180
2010/11/03 02:27:53,373800,0.554
2010/11/03 02:27:53,374000,1.064
2010/11/03 02:27:53,374200,0.900
2010/11/03 02:27:53,374400,0.730
2010/11/03 02:27:53,374600,0.742
2010/11/03 02:27:53,374800,0.746
2010/11/03 02:27:53,375000,0.640
2010/11/03 02:27:53,375200,0.588
2010/11/03 02:27:53,375400,0.468
2010/11/03 02:27:53,375600,0.600
2010/11/03 02:27:53,375800,0.548
2010/11/03 02:27:53,376000,0.366
2010/11/03 02:27:53,376200,0.444
2010/11/03 02:27:53,376400,0.888
2010/11/03 02:27:53,376600,1.068
2010/11/03 02:27:53,376800,1.172
2010/11/03 02:27:53,377000,0.840
2010/11/03 02:27:53,377200,0.784
2010/11/03 02:27:53,377400,0.402
2010/11/03 02:27:53,377600,0.368
2010/11/03 02:27:53,377800,0.236
2010/11/03 02:27:53,378000,0.380
2010/11/03 02:27:53,378200,0.560
2010/11/03 02:27:53,378400,0.388
2010/11/03 02:27:53,378600,0.634
2010/11/03 02:27:53,378800,0.290
2010/11/03 02:27:53,379000,-0.216
2010/11/03 02:27:53,379200,-0.142
2010/11/03 02:27:53,379400,0.448
2010/11/03 02:27:53,379600,0.528
2010/11/03 02:27:53,379800,0.646
2010/11/03 02:27:53,380000,0.560
2010/11/03 02:27:53,380200,0.318
2010/11/03 02:27:53,380400,-0.244
2010/11/03 02:27:53,380600,-0.672
2010/11/03 02:27:53,380800,-0.316
2010/11/03 02:27:53,381000,0.100
2010/11/03 02:27:53,381200,0.228
2010/11/03 02:27:53,381400,0.348
2010/11/03 02:27:53,381600,0.402
2010/11/03 02:27:53,381800,0.452
2010/11/03 02:27:53,382000,0.700
2010/11/03 02:27:53,382200,0.616
2010/11/03 02:27:53,382400,0.324
2010/11/03 02:27:53,382600,0.350
2010/11/03 02:27:53,382800,0.182
2010/11/03 02:27:53,383000,-0.160
2010/11/03 02:27:53,383200,0.046
2010/11/03 02:27:53,383400,0.256
2010/11/03 02:27:53,383600,0.208
2010/11/03 02:27:53,383800,0.040
2010/11/03 02:27:53,384000,0.540
2010/11/03 02:27:53,384200,1.006
2010/11/03 02:27:53,384400,1.372
2010/11/03 02:27:53,384600,1.096
2010/11/03 02:27:53,384800,0.700
2010/11/03 02:27:53,385000,0.372
2010/11/03 02:27:53,385200,-0.162
2010/11/03 02:27:53,385400,-0.124
2010/11/03 02:27:53,385600,0.278
2010/11/03 02:27:53,385800,0.618
2010/11/03 02:27:53,386000,0.712
2010/11/03 02:27:53,386200,0.746
2010/11/03 02:27:53,386400,0.666
2010/11/03 02:27:53,386600,0.942
2010/11/03 02:27:53,386800,1.120
2010/11/03 02:27:53,387000,0.900
2010/11/03 02:27:53,387200,0.324
2010/11/03 02:27:53,387400,0.298
2010/11/03 02:27:53,387600,0.134
2010/11/03 02:27:53,387800,0.130
2010/11/03 02:27:53,388000,-0.058
2010/11/03 02:27:53,388200,0.404
2010/11/03 02:27:53,388400,-0.230
2010/11/03 02:27:53,388600,-0.080
2010/11/03 02:27:53,388800,-0.306
2010/11/03 02:27:53,389000,-0.070
2010/11/03 02:27:53,389200,0.178
2010/11/03 02:27:53,389400,0.186
2010/11/03 02:27:53,389600,1.338
2010/11/03 02:27:53,389800,0.948
2010/11/03 02:27:53,390000,-0.422
2010/11/03 02:27:53,390200,-0.986
2010/11/03 02:27:53,390400,-1.002
2010/11/03 02:27:53,390600,-1.168
2010/11/03 02:27:53,390800,-0.878
2010/11/03 02:27:53,391000,-1.018
2010/11/03 02:27:53,391200,-0.908
2010/11/03 02:27:53,391400,-0.956
2010/11/03 02:27:53,391600,-1.132
2010/11/03 02:27:53,391800,-0.162
2010/11/03 02:27:53,392000,0.554
2010/11/03 02:27:53,392200,0.710
2010/11/03 02:27:53,392400,-0.282
2010/11/03 02:27:53,392600,-0.932
2010/11/03 02:27:53,392800,-0.492
2010/11/03 02:27:53,393000,-0.188
2010/11/03 02:27:53,393200,-0.522
2010/11/03 02:27:53,393400,-0.618
2010/11/03 02:27:53,393600,-0.244
2010/11/03 02:27:53,393800,-0.656
2010/11/03 02:27:53,394000,-0.494
2010/11/03 02:27:53,394200,0.096
2010/11/03 02:27:53,394400,0.026
2010/11/03 02:27:53,394600,0.136
2010/11/03 02:27:53,394800,-0.010
2010/11/03 02:27:53,395000,-0.140
2010/11/03 02:27:53,395200,-0.244
2010/11/03 02:27:53,395400,-0.180
2010/11/03 02:27:53,395600,-0.274
2010/11/03 02:27:53,395800,-0.304
2010/11/03 02:27:53,396000,0.052
2010/11/03 02:27:53,396200,-0.120
2010/11/03 02:27:53,396400,-0.236
2010/11/03 02:27:53,396600,-0.254
2010/11/03 02:27:53,396800,-0.110
2010/11/03 02:27:53,397000,0.184
2010/11/03 02:27:53,397200,0.244
2010/11/03 02:27:53,397400,0.248
2010/11/03 02:27:53,397600,0.208
2010/11/03 02:27:53,397800,0.004
2010/11/03 02:27:53,398000,-0.228
2010/11/03 02:27:53,398200,-0.460
2010/11/03 02:27:53,398400,-0.452
2010/11/03 02:27:53,398600,-0.714
2010/11/03 02:27:53,398800,-1.244
2010/11/03 02:27:53,399000,-0.994
2010/11/03 02:27:53,399200,-0.968
2010/11/03 02:27:53,399400,-0.662
2010/11/03 02:27:53,399600,-0.576
2010/11/03 02:27:53,399800,-0.188
2010/11/03 02:27:53,400000,-0.058
2010/11/03 02:27:53,400200,-0.654
2010/11/03 02:27:53,400400,-1.286
2010/11/03 02:27:53,400600,-1.174
2010/11/03 02:27:53,400800,-1.156
2010/11/03 02:27:53,401000,-1.242
2010/11/03 02:27:53,401200,-1.238
2010/11/03 02:27:53,401400,-1.506
2010/11/03 02:27:53,401600,-1.186
2010/11/03 02:27:53,401800,-1.164
2010/11/03 02:27:53,402000,-1.062
2010/11/03 02:27:53,402200,-0.400
2010/11/03 02:27:53,402400,-0.036
2010/11/03 02:27:53,402600,-0.080
2010/11/03 02:27:53,402800,-0.620
2010/11/03 02:27:53,403000,-0.800
2010/11/03 02:27:53,403200,-0.678
2010/11/03 02:27:53,403400,-0.184
2010/11/03 02:27:53,403600,-0.312
2010/11/03 02:27:53,403800,-0.600
2010/11/03 02:27:53,404000,-0.476
2010/11/03 02:27:53,404200,-0.292
2010/11/03 02:27:53,404400,0.202
2010/11/03 02:27:53,404600,0.214
2010/11/03 02:27:53,404800,0.120
2010/11/03 02:27:53,405000,0.430
2010/11/03 02:27:53,405200,0.610
2010/11/03 02:27:53,405400,0.422
2010/11/03 02:27:53,405600,-0.112
2010/11/03 02:27:53,405800,-0.138
2010/11/03 02:27:53,406000,-0.016
2010/11/03 02:27:53,406200,-0.132
2010/11/03 02:27:53,406400,-0.218
2010/11/03 02:27:53,406600,-0.352
2010/11/03 02:27:53,406800,-0.032
2010/11/03 02:27:53,407000,0.488
2010/11/03 02:27:53,407200,0.062
2010/11/03 02:27:53,407400,-0.080
2010/11/03 02:27:53,407600,0.280
2010/11/03 02:27:53,407800,0.576
2010/11/03 02:27:53,408000,0.582
2010/11/03 02:27:53,408200,-0.024
2010/11/03 02:27:53,408400,-0.322
2010/11/03 02:27:53,408600,-0.072
2010/11/03 02:27:53,408800,-0.298
2010/11/03 02:27:53,409000,-0.512
2010/11/03 02:27:53,409200,-0.368
2010/11/03 02:27:53,409400,-0.290
2010/11/03 02:27:53,409600,-0.104
2010/11/03 02:27:53,409800,-0.360
2010/11/03 02:27:53,410000,-0.546
2010/11/03 02:27:53,410200,-0.224
2010/11/03 02:27:53,410400,-0.142
2010/11/03 02:27:53,410600,-0.216
2010/11/03 02:27:53,410800,-0.300
2010/11/03 02:27:53,411000,-0.528
2010/11/03 02:27:53,411200,-0.416
2010/11/03 02:27:53,411400,-0.352
2010/11/03 02:27:53,411600,-0.210
2010/11/03 02:27:53,411800,0.112
2010/11/03 02:27:53,412000,0.174
2010/11/03 02:27:53,412200,0.032
2010/11/03 02:27:53,412400,0.040
2010/11/03 02:27:53,412600,0.198
2010/11/03 02:27:53,412800,0.422
2010/11/03 02:27:53,413000,0.526
2010/11/03 02:27:53,413200,0.388
2010/11/03 02:27:53,413400,-0.014
2010/11/03 02:27:53,413600,-0.016
2010/11/03 02:27:53,413800,0.208
2010/11/03 02:27:53,414000,0.392
2010/11/03 02:27:53,414200,0.576
2010/11/03 02:27:53,414400,0.842
2010/11/03 02:27:53,414600,0.966
2010/11/03 02:27:53,414800,0.912
2010/11/03 02:27:53,415000,0.796
2010/11/03 02:27:53,415200,0.810
2010/11/03 02:27:53,415400,0.504
2010/11/03 02:27:53,415600,0.706
2010/11/03 02:27:53,415800,0.992
2010/11/03 02:27:53,416000,0.896
2010/11/03 02:27:53,416200,0.920
2010/11/03 02:27:53,416400,0.928
2010/11/03 02:27:53,416600,0.530
2010/11/03 02:27:53,416800,0.936
2010/11/03 02:27:53,417000,0.798
2010/11/03 02:27:53,417200,0.576
2010/11/03 02:27:53,417400,0.408
2010/11/03 02:27:53,417600,0.034
2010/11/03 02:27:53,417800,0.222
2010/11/03 02:27:53,418000,0.228
2010/11/03 02:27:53,418200,0.620
2010/11/03 02:27:53,418400,0.350
2010/11/03 02:27:53,418600,1.074
2010/11/03 02:27:53,418800,1.506
2010/11/03 02:27:53,419000,0.714
2010/11/03 02:27:53,419200,-0.346
2010/11/03 02:27:53,419400,-0.540
2010/11/03 02:27:53,419600,-0.340
2010/11/03 02:27:53,419800,0.226
2010/11/03 02:27:53,420000,0.630
2010/11/03 02:27:53,420200,0.376
2010/11/03 02:27:53,420400,0.078
2010/11/03 02:27:53,420600,-0.056
2010/11/03 02:27:53,420800,0.108
2010/11/03 02:27:53,421000,0.242
2010/11/03 02:27:53,421200,0.306
2010/11/03 02:27:53,421400,-0.038
2010/11/03 02:27:53,421600,-0.520
2010/11/03 02:27:53,421800,-0.208
2010/11/03 02:27:53,422000,0.204
2010/11/03 02:27:53,422200,0.758
2010/11/03 02:27:53,422400,0.764
2010/11/03 02:27:53,422600,0.612
2010/11/03 02:27:53,422800,0.776
2010/11/03 02:27:53,423000,0.972
2010/11/03 02:27:53,423200,0.850
2010/11/03 02:27:53,423400,0.250
2010/11/03 02:27:53,423600,0.330
2010/11/03 02:27:53,423800,-0.162
2010/11/03 02:27:53,424000,-0.154
2010/11/03 02:27:53,424200,0.050
2010/11/03 02:27:53,424400,0.162
2010/11/03 02:27:53,424600,0.710
