#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:18:01,675000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:18:01,675000,2.722
2010/11/03 02:18:01,675200,5.468
2010/11/03 02:18:01,675400,3.640
2010/11/03 02:18:01,675600,-0.050
2010/11/03 02:18:01,675800,-1.676
2010/11/03 02:18:01,676000,1.098
2010/11/03 02:18:01,676200,2.896
2010/11/03 02:18:01,676400,0.028
2010/11/03 02:18:01,676600,-2.888
2010/11/03 02:18:01,676800,-3.330
2010/11/03 02:18:01,677000,-0.570
2010/11/03 02:18:01,677200,1.232
2010/11/03 02:18:01,677400,-0.616
2010/11/03 02:18:01,677600,-2.760
2010/11/03 02:18:01,677800,-5.064
2010/11/03 02:18:01,678000,-2.752
2010/11/03 02:18:01,678200,1.824
2010/11/03 02:18:01,678400,4.502
2010/11/03 02:18:01,678600,3.736
2010/11/03 02:18:01,678800,0.904
2010/11/03 02:18:01,679000,-1.916
2010/11/03 02:18:01,679200,-0.650
2010/11/03 02:18:01,679400,2.780
2010/11/03 02:18:01,679600,2.224
2010/11/03 02:18:01,679800,-1.864
2010/11/03 02:18:01,680000,-4.338
2010/11/03 02:18:01,680200,-3.738
2010/11/03 02:18:01,680400,-0.518
2010/11/03 02:18:01,680600,1.372
2010/11/03 02:18:01,680800,-1.306
2010/11/03 02:18:01,681000,-3.212
2010/11/03 02:18:01,681200,-2.514
2010/11/03 02:18:01,681400,0.814
2010/11/03 02:18:01,681600,2.556
2010/11/03 02:18:01,681800,3.386
2010/11/03 02:18:01,682000,3.732
2010/11/03 02:18:01,682200,3.506
2010/11/03 02:18:01,682400,0.650
2010/11/03 02:18:01,682600,-0.906
2010/11/03 02:18:01,682800,0.318
2010/11/03 02:18:01,683000,0.782
2010/11/03 02:18:01,683200,-1.372
2010/11/03 02:18:01,683400,-2.330
