#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:07:39,894000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:07:39,894000,0.052
2010/11/03 02:07:39,894200,-0.018
2010/11/03 02:07:39,894400,-0.048
2010/11/03 02:07:39,894600,-0.042
2010/11/03 02:07:39,894800,-0.008
2010/11/03 02:07:39,895000,0.038
2010/11/03 02:07:39,895200,0.050
2010/11/03 02:07:39,895400,0.014
2010/11/03 02:07:39,895600,-0.040
2010/11/03 02:07:39,895800,-0.054
2010/11/03 02:07:39,896000,-0.010
2010/11/03 02:07:39,896200,0.054
2010/11/03 02:07:39,896400,0.050
2010/11/03 02:07:39,896600,0.002
2010/11/03 02:07:39,896800,-0.026
2010/11/03 02:07:39,897000,-0.026
2010/11/03 02:07:39,897200,-0.016
2010/11/03 02:07:39,897400,0.004
2010/11/03 02:07:39,897600,0.032
2010/11/03 02:07:39,897800,0.006
2010/11/03 02:07:39,898000,-0.052
2010/11/03 02:07:39,898200,-0.080
2010/11/03 02:07:39,898400,-0.028
2010/11/03 02:07:39,898600,0.038
2010/11/03 02:07:39,898800,0.058
2010/11/03 02:07:39,899000,0.014
2010/11/03 02:07:39,899200,-0.022
2010/11/03 02:07:39,899400,-0.020
2010/11/03 02:07:39,899600,-0.036
2010/11/03 02:07:39,899800,-0.036
2010/11/03 02:07:39,900000,0.002
2010/11/03 02:07:39,900200,0.052
2010/11/03 02:07:39,900400,0.018
2010/11/03 02:07:39,900600,-0.058
2010/11/03 02:07:39,900800,-0.048
2010/11/03 02:07:39,901000,0.006
2010/11/03 02:07:39,901200,0.040
2010/11/03 02:07:39,901400,0.058
2010/11/03 02:07:39,901600,0.062
2010/11/03 02:07:39,901800,0.052
2010/11/03 02:07:39,902000,-0.012
2010/11/03 02:07:39,902200,-0.056
2010/11/03 02:07:39,902400,-0.032
2010/11/03 02:07:39,902600,0.020
2010/11/03 02:07:39,902800,0.056
2010/11/03 02:07:39,903000,0.002
2010/11/03 02:07:39,903200,-0.036
2010/11/03 02:07:39,903400,-0.018
2010/11/03 02:07:39,903600,0.004
2010/11/03 02:07:39,903800,0.048
2010/11/03 02:07:39,904000,0.078
2010/11/03 02:07:39,904200,0.044
2010/11/03 02:07:39,904400,-0.004
2010/11/03 02:07:39,904600,-0.036
2010/11/03 02:07:39,904800,-0.030
2010/11/03 02:07:39,905000,0.006
2010/11/03 02:07:39,905200,0.030
2010/11/03 02:07:39,905400,0.012
2010/11/03 02:07:39,905600,-0.032
2010/11/03 02:07:39,905800,-0.048
2010/11/03 02:07:39,906000,-0.038
2010/11/03 02:07:39,906200,-0.006
2010/11/03 02:07:39,906400,0.044
2010/11/03 02:07:39,906600,0.054
2010/11/03 02:07:39,906800,0.032
2010/11/03 02:07:39,907000,-0.016
2010/11/03 02:07:39,907200,-0.058
2010/11/03 02:07:39,907400,-0.032
2010/11/03 02:07:39,907600,0.008
2010/11/03 02:07:39,907800,0.030
2010/11/03 02:07:39,908000,0.024
2010/11/03 02:07:39,908200,0.002
2010/11/03 02:07:39,908400,-0.004
2010/11/03 02:07:39,908600,-0.018
2010/11/03 02:07:39,908800,-0.006
2010/11/03 02:07:39,909000,0.034
2010/11/03 02:07:39,909200,0.058
2010/11/03 02:07:39,909400,0.000
2010/11/03 02:07:39,909600,-0.104
2010/11/03 02:07:39,909800,-0.076
2010/11/03 02:07:39,910000,0.014
2010/11/03 02:07:39,910200,0.032
2010/11/03 02:07:39,910400,0.004
2010/11/03 02:07:39,910600,-0.028
2010/11/03 02:07:39,910800,-0.004
2010/11/03 02:07:39,911000,0.020
2010/11/03 02:07:39,911200,0.006
2010/11/03 02:07:39,911400,0.036
2010/11/03 02:07:39,911600,0.068
2010/11/03 02:07:39,911800,0.044
2010/11/03 02:07:39,912000,-0.014
2010/11/03 02:07:39,912200,-0.058
2010/11/03 02:07:39,912400,-0.002
2010/11/03 02:07:39,912600,0.050
2010/11/03 02:07:39,912800,0.060
2010/11/03 02:07:39,913000,0.016
2010/11/03 02:07:39,913200,-0.020
2010/11/03 02:07:39,913400,0.000
2010/11/03 02:07:39,913600,0.008
2010/11/03 02:07:39,913800,0.026
2010/11/03 02:07:39,914000,0.040
2010/11/03 02:07:39,914200,0.018
2010/11/03 02:07:39,914400,0.010
2010/11/03 02:07:39,914600,-0.018
2010/11/03 02:07:39,914800,-0.020
2010/11/03 02:07:39,915000,-0.018
2010/11/03 02:07:39,915200,0.000
2010/11/03 02:07:39,915400,0.016
2010/11/03 02:07:39,915600,0.016
2010/11/03 02:07:39,915800,0.014
2010/11/03 02:07:39,916000,0.020
2010/11/03 02:07:39,916200,0.024
2010/11/03 02:07:39,916400,0.020
2010/11/03 02:07:39,916600,-0.006
2010/11/03 02:07:39,916800,-0.020
2010/11/03 02:07:39,917000,-0.002
2010/11/03 02:07:39,917200,-0.006
