#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 02:46:12,953000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 02:46:12,953000,0.430
2010/11/03 02:46:12,953200,-0.146
2010/11/03 02:46:12,953400,-0.156
2010/11/03 02:46:12,953600,0.174
2010/11/03 02:46:12,953800,0.332
2010/11/03 02:46:12,954000,0.062
2010/11/03 02:46:12,954200,-0.400
2010/11/03 02:46:12,954400,-0.396
2010/11/03 02:46:12,954600,-0.050
2010/11/03 02:46:12,954800,0.536
2010/11/03 02:46:12,955000,0.540
2010/11/03 02:46:12,955200,0.334
2010/11/03 02:46:12,955400,0.324
2010/11/03 02:46:12,955600,0.010
2010/11/03 02:46:12,955800,0.012
2010/11/03 02:46:12,956000,0.028
2010/11/03 02:46:12,956200,0.398
2010/11/03 02:46:12,956400,0.560
2010/11/03 02:46:12,956600,0.426
2010/11/03 02:46:12,956800,-0.084
2010/11/03 02:46:12,957000,-0.422
2010/11/03 02:46:12,957200,0.104
2010/11/03 02:46:12,957400,0.520
2010/11/03 02:46:12,957600,0.648
2010/11/03 02:46:12,957800,0.412
2010/11/03 02:46:12,958000,0.450
2010/11/03 02:46:12,958200,0.196
2010/11/03 02:46:12,958400,0.058
2010/11/03 02:46:12,958600,-0.258
2010/11/03 02:46:12,958800,0.128
2010/11/03 02:46:12,959000,0.416
2010/11/03 02:46:12,959200,-0.078
2010/11/03 02:46:12,959400,-0.428
2010/11/03 02:46:12,959600,-0.138
2010/11/03 02:46:12,959800,0.574
2010/11/03 02:46:12,960000,0.210
2010/11/03 02:46:12,960200,-0.648
2010/11/03 02:46:12,960400,-0.166
2010/11/03 02:46:12,960600,-0.098
2010/11/03 02:46:12,960800,-0.148
2010/11/03 02:46:12,961000,-0.266
2010/11/03 02:46:12,961200,-0.736
2010/11/03 02:46:12,961400,-0.694
2010/11/03 02:46:12,961600,-0.820
2010/11/03 02:46:12,961800,-0.648
2010/11/03 02:46:12,962000,-0.100
2010/11/03 02:46:12,962200,0.114
2010/11/03 02:46:12,962400,-0.010
2010/11/03 02:46:12,962600,-0.270
2010/11/03 02:46:12,962800,-0.026
2010/11/03 02:46:12,963000,0.328
2010/11/03 02:46:12,963200,0.340
2010/11/03 02:46:12,963400,-0.218
2010/11/03 02:46:12,963600,-0.546
2010/11/03 02:46:12,963800,-0.222
2010/11/03 02:46:12,964000,0.102
2010/11/03 02:46:12,964200,0.170
2010/11/03 02:46:12,964400,0.120
2010/11/03 02:46:12,964600,0.244
2010/11/03 02:46:12,964800,0.222
2010/11/03 02:46:12,965000,0.066
2010/11/03 02:46:12,965200,0.142
2010/11/03 02:46:12,965400,0.284
2010/11/03 02:46:12,965600,0.766
2010/11/03 02:46:12,965800,0.826
2010/11/03 02:46:12,966000,0.256
2010/11/03 02:46:12,966200,-0.286
2010/11/03 02:46:12,966400,-0.132
2010/11/03 02:46:12,966600,0.230
2010/11/03 02:46:12,966800,0.248
2010/11/03 02:46:12,967000,0.316
2010/11/03 02:46:12,967200,0.228
2010/11/03 02:46:12,967400,0.102
