#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 03:14:51,016000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 03:14:51,016000,0.264
2010/11/03 03:14:51,016200,0.186
2010/11/03 03:14:51,016400,-0.094
2010/11/03 03:14:51,016600,-0.314
2010/11/03 03:14:51,016800,-0.538
2010/11/03 03:14:51,017000,-0.538
2010/11/03 03:14:51,017200,-0.262
2010/11/03 03:14:51,017400,-0.170
2010/11/03 03:14:51,017600,-0.190
2010/11/03 03:14:51,017800,-0.102
2010/11/03 03:14:51,018000,0.156
2010/11/03 03:14:51,018200,0.394
2010/11/03 03:14:51,018400,0.398
2010/11/03 03:14:51,018600,0.066
2010/11/03 03:14:51,018800,-0.266
2010/11/03 03:14:51,019000,-0.270
2010/11/03 03:14:51,019200,-0.248
2010/11/03 03:14:51,019400,-0.266
2010/11/03 03:14:51,019600,-0.186
2010/11/03 03:14:51,019800,0.052
2010/11/03 03:14:51,020000,0.230
2010/11/03 03:14:51,020200,0.326
2010/11/03 03:14:51,020400,0.406
2010/11/03 03:14:51,020600,0.418
2010/11/03 03:14:51,020800,0.332
2010/11/03 03:14:51,021000,0.096
2010/11/03 03:14:51,021200,-0.144
2010/11/03 03:14:51,021400,-0.272
2010/11/03 03:14:51,021600,-0.316
2010/11/03 03:14:51,021800,-0.338
2010/11/03 03:14:51,022000,-0.292
2010/11/03 03:14:51,022200,-0.096
2010/11/03 03:14:51,022400,0.112
2010/11/03 03:14:51,022600,0.218
2010/11/03 03:14:51,022800,0.230
2010/11/03 03:14:51,023000,0.298
2010/11/03 03:14:51,023200,0.358
2010/11/03 03:14:51,023400,0.330
2010/11/03 03:14:51,023600,0.214
2010/11/03 03:14:51,023800,0.082
2010/11/03 03:14:51,024000,-0.024
2010/11/03 03:14:51,024200,-0.060
2010/11/03 03:14:51,024400,-0.016
2010/11/03 03:14:51,024600,0.084
2010/11/03 03:14:51,024800,0.138
2010/11/03 03:14:51,025000,0.064
2010/11/03 03:14:51,025200,-0.070
2010/11/03 03:14:51,025400,-0.070
2010/11/03 03:14:51,025600,-0.024
2010/11/03 03:14:51,025800,-0.078
2010/11/03 03:14:51,026000,-0.112
2010/11/03 03:14:51,026200,-0.098
2010/11/03 03:14:51,026400,-0.126
2010/11/03 03:14:51,026600,-0.096
2010/11/03 03:14:51,026800,0.058
2010/11/03 03:14:51,027000,0.242
2010/11/03 03:14:51,027200,0.328
2010/11/03 03:14:51,027400,0.266
2010/11/03 03:14:51,027600,0.162
2010/11/03 03:14:51,027800,0.072
2010/11/03 03:14:51,028000,0.026
2010/11/03 03:14:51,028200,-0.024
2010/11/03 03:14:51,028400,-0.026
2010/11/03 03:14:51,028600,-0.028
2010/11/03 03:14:51,028800,-0.116
2010/11/03 03:14:51,029000,-0.156
2010/11/03 03:14:51,029200,-0.120
2010/11/03 03:14:51,029400,-0.030
2010/11/03 03:14:51,029600,0.026
2010/11/03 03:14:51,029800,0.006
2010/11/03 03:14:51,030000,-0.026
2010/11/03 03:14:51,030200,-0.068
2010/11/03 03:14:51,030400,-0.036
2010/11/03 03:14:51,030600,0.020
2010/11/03 03:14:51,030800,0.066
2010/11/03 03:14:51,031000,0.094
2010/11/03 03:14:51,031200,0.090
2010/11/03 03:14:51,031400,0.078
2010/11/03 03:14:51,031600,0.090
2010/11/03 03:14:51,031800,0.144
2010/11/03 03:14:51,032000,0.120
2010/11/03 03:14:51,032200,0.038
2010/11/03 03:14:51,032400,-0.038
2010/11/03 03:14:51,032600,0.004
2010/11/03 03:14:51,032800,0.004
2010/11/03 03:14:51,033000,-0.122
2010/11/03 03:14:51,033200,-0.484
2010/11/03 03:14:51,033400,-0.626
2010/11/03 03:14:51,033600,-0.430
2010/11/03 03:14:51,033800,0.016
2010/11/03 03:14:51,034000,0.308
2010/11/03 03:14:51,034200,0.562
2010/11/03 03:14:51,034400,0.880
2010/11/03 03:14:51,034600,0.522
2010/11/03 03:14:51,034800,-0.172
2010/11/03 03:14:51,035000,-0.228
2010/11/03 03:14:51,035200,0.216
2010/11/03 03:14:51,035400,0.254
2010/11/03 03:14:51,035600,-0.272
2010/11/03 03:14:51,035800,-0.448
2010/11/03 03:14:51,036000,-0.324
2010/11/03 03:14:51,036200,-0.550
2010/11/03 03:14:51,036400,-0.550
2010/11/03 03:14:51,036600,-0.050
2010/11/03 03:14:51,036800,0.436
2010/11/03 03:14:51,037000,0.802
2010/11/03 03:14:51,037200,0.834
2010/11/03 03:14:51,037400,0.700
2010/11/03 03:14:51,037600,0.708
