#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 03:02:35,635000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 03:02:35,635000,0.084
2010/11/03 03:02:35,635200,0.106
2010/11/03 03:02:35,635400,0.102
2010/11/03 03:02:35,635600,0.034
2010/11/03 03:02:35,635800,-0.026
2010/11/03 03:02:35,636000,-0.072
2010/11/03 03:02:35,636200,-0.066
2010/11/03 03:02:35,636400,0.002
2010/11/03 03:02:35,636600,0.088
2010/11/03 03:02:35,636800,0.052
2010/11/03 03:02:35,637000,-0.014
2010/11/03 03:02:35,637200,-0.018
2010/11/03 03:02:35,637400,0.042
2010/11/03 03:02:35,637600,0.106
2010/11/03 03:02:35,637800,0.100
2010/11/03 03:02:35,638000,0.024
2010/11/03 03:02:35,638200,-0.042
2010/11/03 03:02:35,638400,-0.050
2010/11/03 03:02:35,638600,-0.078
2010/11/03 03:02:35,638800,-0.048
2010/11/03 03:02:35,639000,-0.010
2010/11/03 03:02:35,639200,0.040
2010/11/03 03:02:35,639400,0.020
2010/11/03 03:02:35,639600,-0.054
2010/11/03 03:02:35,639800,-0.038
2010/11/03 03:02:35,640000,0.092
2010/11/03 03:02:35,640200,0.110
2010/11/03 03:02:35,640400,-0.022
2010/11/03 03:02:35,640600,-0.110
2010/11/03 03:02:35,640800,-0.106
2010/11/03 03:02:35,641000,-0.042
2010/11/03 03:02:35,641200,-0.010
2010/11/03 03:02:35,641400,0.036
2010/11/03 03:02:35,641600,0.054
2010/11/03 03:02:35,641800,0.024
2010/11/03 03:02:35,642000,-0.018
2010/11/03 03:02:35,642200,-0.026
2010/11/03 03:02:35,642400,0.040
2010/11/03 03:02:35,642600,0.086
2010/11/03 03:02:35,642800,0.042
2010/11/03 03:02:35,643000,-0.028
2010/11/03 03:02:35,643200,-0.062
2010/11/03 03:02:35,643400,-0.004
2010/11/03 03:02:35,643600,0.084
2010/11/03 03:02:35,643800,0.102
2010/11/03 03:02:35,644000,0.054
2010/11/03 03:02:35,644200,-0.034
2010/11/03 03:02:35,644400,-0.042
2010/11/03 03:02:35,644600,-0.022
2010/11/03 03:02:35,644800,0.028
2010/11/03 03:02:35,645000,0.068
2010/11/03 03:02:35,645200,0.062
2010/11/03 03:02:35,645400,-0.002
2010/11/03 03:02:35,645600,-0.090
2010/11/03 03:02:35,645800,-0.030
2010/11/03 03:02:35,646000,0.004
2010/11/03 03:02:35,646200,0.042
2010/11/03 03:02:35,646400,0.032
2010/11/03 03:02:35,646600,0.010
2010/11/03 03:02:35,646800,-0.020
2010/11/03 03:02:35,647000,-0.034
2010/11/03 03:02:35,647200,0.044
2010/11/03 03:02:35,647400,0.136
2010/11/03 03:02:35,647600,0.128
2010/11/03 03:02:35,647800,0.016
2010/11/03 03:02:35,648000,-0.046
2010/11/03 03:02:35,648200,-0.040
2010/11/03 03:02:35,648400,0.002
2010/11/03 03:02:35,648600,0.034
2010/11/03 03:02:35,648800,0.010
2010/11/03 03:02:35,649000,-0.052
2010/11/03 03:02:35,649200,-0.118
