#BeginHeader,57
#FormatType,NR-500\NORMAL
#FormatVersion,R3.00.00
タイトル,
ユニット番号,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
ユニット種別,NR-500,(1)CA,未設定,未設定,未設定,未設定,未設定,未設定,未設定

計測モード,ノーマルモード
収集開始日時,2010/11/03 03:09:49,095000
サンプリング周期,200μs
データ数,50000
保存オプション,標準

ユニット種別共通
ユニット種別名,NR-CA04共通
実サンプリング周期,200μs
計測機能設定,***
AD積分時間,***
ｱﾝﾁｴｲﾘｱｼﾝｸﾞﾌｨﾙﾀ,ON
断線検出値,***
デジタルフィルタ,***
その他,

トリガ条件
マニュアルトリガ,OFF
外部トリガ入力,OFF
エッジトリガ,OFF
エッジトリガ対象ユニット,なし
プリトリガ/ポストトリガ,***
ポイント数,***

チャンネル条件,
チャンネル番号,,(1)CA-CH01
波形名,,"Channel01"
入力レンジ,,±50.0m/s^2
単位,,"m/s^2"
計測機能,,OFF
ホールド,,OFF
エッジトリガ,,未使用
トリガレベル,,
ヒステリシス,,
スムージング,,OFF
ポイント数,,
スケーリング,,OFF
計測値1,,
計測値2,,
表示値1,,
表示値2,,
カップリング,,
センサタイプ,,電荷出力型
ローパスフィルタ,,PASS
ハイパスフィルタ,,PASS
感度,,5
基本単位,,m/s^2
極性,,0°

#EndHeader,日時(μs),(1)CA-CH01
2010/11/03 03:09:49,095000,-0.042
2010/11/03 03:09:49,095200,0.014
2010/11/03 03:09:49,095400,0.024
2010/11/03 03:09:49,095600,0.064
2010/11/03 03:09:49,095800,0.052
2010/11/03 03:09:49,096000,0.026
2010/11/03 03:09:49,096200,-0.036
2010/11/03 03:09:49,096400,0.042
2010/11/03 03:09:49,096600,0.084
2010/11/03 03:09:49,096800,0.076
2010/11/03 03:09:49,097000,0.110
2010/11/03 03:09:49,097200,0.062
2010/11/03 03:09:49,097400,-0.028
2010/11/03 03:09:49,097600,-0.008
2010/11/03 03:09:49,097800,0.098
2010/11/03 03:09:49,098000,0.224
2010/11/03 03:09:49,098200,0.216
2010/11/03 03:09:49,098400,0.126
2010/11/03 03:09:49,098600,0.076
2010/11/03 03:09:49,098800,0.018
2010/11/03 03:09:49,099000,0.108
2010/11/03 03:09:49,099200,0.178
2010/11/03 03:09:49,099400,0.138
2010/11/03 03:09:49,099600,0.052
2010/11/03 03:09:49,099800,0.080
2010/11/03 03:09:49,100000,0.092
2010/11/03 03:09:49,100200,0.152
2010/11/03 03:09:49,100400,0.166
2010/11/03 03:09:49,100600,0.114
2010/11/03 03:09:49,100800,0.008
2010/11/03 03:09:49,101000,-0.038
2010/11/03 03:09:49,101200,-0.080
2010/11/03 03:09:49,101400,-0.080
2010/11/03 03:09:49,101600,-0.024
2010/11/03 03:09:49,101800,-0.016
2010/11/03 03:09:49,102000,0.010
2010/11/03 03:09:49,102200,-0.006
2010/11/03 03:09:49,102400,-0.058
2010/11/03 03:09:49,102600,-0.138
2010/11/03 03:09:49,102800,-0.072
2010/11/03 03:09:49,103000,-0.092
2010/11/03 03:09:49,103200,-0.110
2010/11/03 03:09:49,103400,-0.142
2010/11/03 03:09:49,103600,-0.112
2010/11/03 03:09:49,103800,-0.082
2010/11/03 03:09:49,104000,-0.096
2010/11/03 03:09:49,104200,-0.028
2010/11/03 03:09:49,104400,0.000
2010/11/03 03:09:49,104600,0.038
2010/11/03 03:09:49,104800,-0.012
2010/11/03 03:09:49,105000,-0.078
2010/11/03 03:09:49,105200,-0.092
2010/11/03 03:09:49,105400,-0.108
2010/11/03 03:09:49,105600,-0.118
2010/11/03 03:09:49,105800,-0.168
2010/11/03 03:09:49,106000,-0.106
2010/11/03 03:09:49,106200,-0.112
2010/11/03 03:09:49,106400,-0.126
2010/11/03 03:09:49,106600,-0.094
2010/11/03 03:09:49,106800,-0.028
2010/11/03 03:09:49,107000,0.038
2010/11/03 03:09:49,107200,0.056
2010/11/03 03:09:49,107400,0.010
2010/11/03 03:09:49,107600,-0.026
2010/11/03 03:09:49,107800,-0.044
2010/11/03 03:09:49,108000,0.116
2010/11/03 03:09:49,108200,0.192
2010/11/03 03:09:49,108400,0.176
2010/11/03 03:09:49,108600,0.084
2010/11/03 03:09:49,108800,-0.016
2010/11/03 03:09:49,109000,-0.018
2010/11/03 03:09:49,109200,-0.064
2010/11/03 03:09:49,109400,-0.060
2010/11/03 03:09:49,109600,-0.108
2010/11/03 03:09:49,109800,-0.148
2010/11/03 03:09:49,110000,-0.168
2010/11/03 03:09:49,110200,-0.184
2010/11/03 03:09:49,110400,-0.118
2010/11/03 03:09:49,110600,-0.038
2010/11/03 03:09:49,110800,0.034
2010/11/03 03:09:49,111000,0.058
2010/11/03 03:09:49,111200,0.000
2010/11/03 03:09:49,111400,-0.032
2010/11/03 03:09:49,111600,-0.066
2010/11/03 03:09:49,111800,-0.018
2010/11/03 03:09:49,112000,0.014
2010/11/03 03:09:49,112200,-0.040
2010/11/03 03:09:49,112400,-0.104
2010/11/03 03:09:49,112600,-0.180
2010/11/03 03:09:49,112800,-0.162
2010/11/03 03:09:49,113000,-0.136
2010/11/03 03:09:49,113200,-0.096
2010/11/03 03:09:49,113400,-0.112
2010/11/03 03:09:49,113600,-0.130
2010/11/03 03:09:49,113800,-0.178
2010/11/03 03:09:49,114000,-0.176
2010/11/03 03:09:49,114200,-0.198
2010/11/03 03:09:49,114400,-0.122
2010/11/03 03:09:49,114600,-0.080
2010/11/03 03:09:49,114800,-0.100
2010/11/03 03:09:49,115000,-0.142
2010/11/03 03:09:49,115200,-0.110
2010/11/03 03:09:49,115400,0.032
2010/11/03 03:09:49,115600,0.126
2010/11/03 03:09:49,115800,0.176
2010/11/03 03:09:49,116000,0.108
2010/11/03 03:09:49,116200,0.042
2010/11/03 03:09:49,116400,0.114
2010/11/03 03:09:49,116600,0.132
2010/11/03 03:09:49,116800,0.108
2010/11/03 03:09:49,117000,-0.020
2010/11/03 03:09:49,117200,-0.022
2010/11/03 03:09:49,117400,-0.006
2010/11/03 03:09:49,117600,-0.012
2010/11/03 03:09:49,117800,0.006
2010/11/03 03:09:49,118000,0.092
2010/11/03 03:09:49,118200,0.190
2010/11/03 03:09:49,118400,0.196
2010/11/03 03:09:49,118600,0.102
2010/11/03 03:09:49,118800,0.136
2010/11/03 03:09:49,119000,0.202
2010/11/03 03:09:49,119200,0.218
2010/11/03 03:09:49,119400,0.174
2010/11/03 03:09:49,119600,0.144
2010/11/03 03:09:49,119800,0.116
2010/11/03 03:09:49,120000,0.144
2010/11/03 03:09:49,120200,0.086
2010/11/03 03:09:49,120400,0.068
2010/11/03 03:09:49,120600,0.096
2010/11/03 03:09:49,120800,0.098
2010/11/03 03:09:49,121000,0.040
2010/11/03 03:09:49,121200,-0.050
2010/11/03 03:09:49,121400,-0.038
2010/11/03 03:09:49,121600,-0.016
2010/11/03 03:09:49,121800,-0.034
2010/11/03 03:09:49,122000,-0.060
2010/11/03 03:09:49,122200,-0.112
2010/11/03 03:09:49,122400,-0.112
2010/11/03 03:09:49,122600,-0.056
2010/11/03 03:09:49,122800,-0.020
2010/11/03 03:09:49,123000,-0.014
2010/11/03 03:09:49,123200,-0.008
2010/11/03 03:09:49,123400,-0.028
2010/11/03 03:09:49,123600,-0.046
2010/11/03 03:09:49,123800,-0.020
2010/11/03 03:09:49,124000,-0.014
2010/11/03 03:09:49,124200,-0.030
2010/11/03 03:09:49,124400,0.016
2010/11/03 03:09:49,124600,0.002
2010/11/03 03:09:49,124800,-0.064
2010/11/03 03:09:49,125000,-0.090
2010/11/03 03:09:49,125200,-0.022
2010/11/03 03:09:49,125400,-0.042
2010/11/03 03:09:49,125600,-0.090
2010/11/03 03:09:49,125800,-0.182
2010/11/03 03:09:49,126000,-0.090
2010/11/03 03:09:49,126200,-0.152
2010/11/03 03:09:49,126400,-0.074
2010/11/03 03:09:49,126600,0.160
2010/11/03 03:09:49,126800,0.190
2010/11/03 03:09:49,127000,0.116
2010/11/03 03:09:49,127200,0.086
2010/11/03 03:09:49,127400,0.100
2010/11/03 03:09:49,127600,0.116
2010/11/03 03:09:49,127800,0.140
2010/11/03 03:09:49,128000,-0.020
2010/11/03 03:09:49,128200,-0.112
2010/11/03 03:09:49,128400,-0.038
2010/11/03 03:09:49,128600,0.004
2010/11/03 03:09:49,128800,0.038
2010/11/03 03:09:49,129000,0.118
2010/11/03 03:09:49,129200,0.138
2010/11/03 03:09:49,129400,0.088
2010/11/03 03:09:49,129600,0.058
2010/11/03 03:09:49,129800,0.090
2010/11/03 03:09:49,130000,-0.006
2010/11/03 03:09:49,130200,-0.102
2010/11/03 03:09:49,130400,-0.018
2010/11/03 03:09:49,130600,0.078
2010/11/03 03:09:49,130800,0.022
2010/11/03 03:09:49,131000,-0.036
2010/11/03 03:09:49,131200,-0.082
2010/11/03 03:09:49,131400,-0.018
2010/11/03 03:09:49,131600,0.016
2010/11/03 03:09:49,131800,0.084
2010/11/03 03:09:49,132000,0.024
2010/11/03 03:09:49,132200,0.016
2010/11/03 03:09:49,132400,-0.020
2010/11/03 03:09:49,132600,-0.112
2010/11/03 03:09:49,132800,-0.150
2010/11/03 03:09:49,133000,-0.118
2010/11/03 03:09:49,133200,-0.136
2010/11/03 03:09:49,133400,-0.164
2010/11/03 03:09:49,133600,-0.194
2010/11/03 03:09:49,133800,-0.166
2010/11/03 03:09:49,134000,-0.096
2010/11/03 03:09:49,134200,0.016
2010/11/03 03:09:49,134400,0.042
2010/11/03 03:09:49,134600,0.026
2010/11/03 03:09:49,134800,0.016
2010/11/03 03:09:49,135000,0.004
2010/11/03 03:09:49,135200,0.052
2010/11/03 03:09:49,135400,-0.050
2010/11/03 03:09:49,135600,-0.088
2010/11/03 03:09:49,135800,-0.024
2010/11/03 03:09:49,136000,-0.084
2010/11/03 03:09:49,136200,-0.158
2010/11/03 03:09:49,136400,-0.038
2010/11/03 03:09:49,136600,0.086
2010/11/03 03:09:49,136800,0.144
2010/11/03 03:09:49,137000,0.082
2010/11/03 03:09:49,137200,0.038
2010/11/03 03:09:49,137400,0.054
2010/11/03 03:09:49,137600,0.098
2010/11/03 03:09:49,137800,0.098
2010/11/03 03:09:49,138000,0.042
2010/11/03 03:09:49,138200,0.046
2010/11/03 03:09:49,138400,0.034
2010/11/03 03:09:49,138600,0.076
2010/11/03 03:09:49,138800,0.154
2010/11/03 03:09:49,139000,0.268
2010/11/03 03:09:49,139200,0.350
2010/11/03 03:09:49,139400,0.314
2010/11/03 03:09:49,139600,0.256
2010/11/03 03:09:49,139800,0.232
2010/11/03 03:09:49,140000,0.264
2010/11/03 03:09:49,140200,0.294
2010/11/03 03:09:49,140400,0.164
2010/11/03 03:09:49,140600,0.080
2010/11/03 03:09:49,140800,-0.020
2010/11/03 03:09:49,141000,-0.018
2010/11/03 03:09:49,141200,0.014
2010/11/03 03:09:49,141400,0.048
2010/11/03 03:09:49,141600,0.156
2010/11/03 03:09:49,141800,0.194
2010/11/03 03:09:49,142000,0.100
2010/11/03 03:09:49,142200,0.046
2010/11/03 03:09:49,142400,0.012
